Company Name,Year_t,from_label,to_label
A Menarini India Pvt. Ltd.,2018,Full_Distress,Full_Distress
A Menarini India Pvt. Ltd.,2019,Full_Distress,Full_Distress
A Menarini India Pvt. Ltd.,2020,Full_Distress,Full_Distress
A Menarini India Pvt. Ltd.,2021,Full_Distress,Full_Distress
A Menarini India Pvt. Ltd.,2022,Full_Distress,Cash_Distress
A N B Metal Cast Ltd.,2022,Cash_Distress,Cash_Distress
A N C Industries Pvt. Ltd.,2021,Cash_Distress,Healthy
A N G Lifesciences India Ltd.,2018,Healthy,Healthy
A N G Lifesciences India Ltd.,2019,Healthy,Cash_Distress
A N G Lifesciences India Ltd.,2020,Cash_Distress,Healthy
A N G Lifesciences India Ltd.,2021,Healthy,Healthy
A N G Lifesciences India Ltd.,2022,Healthy,Healthy
A N M Ispat Pvt. Ltd.,2018,Cash_Distress,Cash_Distress
A N M Ispat Pvt. Ltd.,2019,Cash_Distress,Cash_Distress
A N M Ispat Pvt. Ltd.,2020,Cash_Distress,Healthy
A N M Ispat Pvt. Ltd.,2021,Healthy,Cash_Distress
A N M Ispat Pvt. Ltd.,2022,Cash_Distress,Healthy
A N S Digital Pvt. Ltd.,2021,Full_Distress,Full_Distress
A N S Steel Tubes Ltd.,2018,Healthy,Healthy
A O N Consulting Pvt. Ltd.,2019,Healthy,Healthy
A O N Consulting Pvt. Ltd.,2020,Healthy,Healthy
A O N Consulting Pvt. Ltd.,2021,Healthy,Healthy
A O S Products Pvt. Ltd.,2018,Healthy,Healthy
A O S Products Pvt. Ltd.,2019,Healthy,Healthy
A O V Agro Foods Pvt. Ltd.,2020,Full_Distress,Full_Distress
A O V Agro Foods Pvt. Ltd.,2021,Full_Distress,Cash_Distress
A O V Agro Foods Pvt. Ltd.,2022,Cash_Distress,Healthy
A O V Exports Pvt. Ltd.,2018,Acct_Distress,Acct_Distress
A O V Exports Pvt. Ltd.,2019,Acct_Distress,Healthy
A O V Exports Pvt. Ltd.,2020,Healthy,Acct_Distress
A O V Exports Pvt. Ltd.,2021,Acct_Distress,Cash_Distress
A O V Exports Pvt. Ltd.,2022,Cash_Distress,Healthy
